326.3    500    680   2560   2530    940    -40
328.1   2590   1880   6190   3190   1020    460
329.8   1590   2320   2730   5330   2400    370
331.6    680   3180   2880   3240   1110    320
333.4     90    580   2890   2490   1190    770
335.1    550   1920   3780   2960   2170    950
336.9   1750   1120   2700   5610   1940   1270
338.7   1130     30   1480    140    950   1390
340.4    610   -510   2090   1460   1240   -130
342.3   1040   1270   2260   2600   1230    870
344.0   1480    700   3130   3170   3760    530
345.8    350    360   2850   2380   3510   1480
347.6   1050    880    780   3260   2030    960
349.3    650      0   1710   2550   2380   1640
351.1   -880    700   1480   2940   1930    580
352.9    740   -930   1230   1650   3000    630
354.6   -170   -590   1710   1340   2040    -50
356.4    300   -140   2210   1290   1970    670
358.2    510    -70   2120   1500   2050    630
